officer_id	sheet_branch	sheet_region
6421	IJEGUN	JADE
1494	IKOTUN 2	EMERALD
1099	MILE 12	RUBY
6566	IYANA IBA	CRYSTAL
1961	OYINGBO	RUBY
2015	BENSON	RUBY
7143	IYANA IBA	CRYSTAL
1943	BARIGA	GARNET
1974	ELEKO	HILANDER
7023	KAM1	
5308	BARIGA	GARNET
1529		
1651	AYOBO 1	SAPPHIRE
4850	KAM1	
1634	BENSON	RUBY
1614	MOWE	OPAL
678	SABO	GARNET
6281	EGBEDA 2	OPAL
6762		
6638	KAM 3	
5591	OKO AFO	OPAL
5086		
5142		
1275	KAM 2	KAM 2
1725	YABA	GARNET
6431	IGANDO	EMERALD
3688	IDIMU	OPAL
6996	IYANA IBA	CRYSTAL
2037	BARIGA	GARNET
3686	KETU/MILE 12	RUBY
1942	IYANA IPAJA	OPAL
1469	OKO AFO	OPAL
5616	KAM1	
1960	MILE 12	RUBY
1950	AJAH 1	HILANDER
4630		
1568	YABA	GARNET
6796		
1649	AGBADO	SAPPHIRE
6641		
5285		
6011	FESTAC 2	RUBY
6624	EGBEDA 2	OPAL
1669		
5823		
5315	JAKANDE	JADE
6623	ELEKO	HILANDER
6486		
1692	OKOAFOR	OPAL
7141	ALABA	CRYSTAL
1967	BARIGA	GARNET
1743	IDIMU	OPAL
4906	OSHODI	EMERALD
1992	MUSHIN	SAPPHIRE
4853		
1056	SABO	GARNET
1129	SABO	GARNET
1889	IKOTUN	OPAL
1965	OYINGBO	RUBY
6068		
4841	IKOTUN 2	EMERALD
1585	BARIGA	GARNET
2052	OSHODI	EMERALD
1685		
1696	OKO AFO	OPAL
1520	MILE 12	RUBY
1333	BENSON	RUBY
1596	AJAH 1	HILANDER
1647	MOWE	OPAL
4205	APONGBON	HILANDER
1586	IYANO IYESI	CRYSTAL
1695		
1999	ALABA	CRYSTAL
6632		
5281	ELEKO	HILANDER
1101	AWOYAYA	HILANDER
1489	IKEJA	GARNET
4844	OKO AFO	OPAL
1452	EGBEDA 1	OPAL
1576	AJAH 2	HILANDER
1053	HQ	VERTICAL LEAD, RUBY
2360	ELEKO	HIGHLANDER
4271	BERGER	JADE
4302	KETU/MILE 12	RUBY
6577	AYOBO 2	SAPPHIRE
6609	BARIGA	GARNET
4618	MOWE	OPAL
1107		
1341	BENSON	RUBY
6563	AGBARA	CRYSTAL
5684	FESTAC 2	RUBY
1609	APONGBON	HILANDER
5027		
2004	IKOTUN 2	EMERALD
6619		
1582	AJAH 1	HILANDER
4593	AGBADO	SAPPHIRE
2025	IYANA IPAJA	OPAL
2078	MOWE	OPAL
1608	AGBADO	SAPPHIRE
2096	IKEJA	GARNET
6523	OGIJO	RUBY
4283	IKOTUN	OPAL
4661		
2083	IGANDO	EMERALD
6497		
6451	AGEGE	GARNET
1727	ELEKO	HILANDER
5157		
2226	JAKANDE	JADE
1939	IYANA IPAJA 1	OPAL
6093		
1660	BENSON	RUBY
5574		
6408	IGANDO	EMERALD
4991		
6501	EGBEDA 2	OPAL
6217	BERGER	JADE
1583	AJAH1&2	HIGHLANDER
1546	TEJUOSHO	GARNET
2063	IDIMU	OPAL
6467		
1554	OYINGBO	RUBY
4575	AYOBO 1	SAPPHIRE
4270	BERGER	JADE
1887	IDIMU	OPAL
1973	OSHODI 1	EMERALD
6732	IYANA IPAJA	OPAL
6008		
6907		
1285	KAM 1	KAM 1
2034	IKOTUN 2	EMERALD
1405	HQ	GARNET
6541		
4191	IYANA IPAJA	OPAL
6790	ILE EPO	SAPPHIRE
3286	AJEGUNLE	EMERALD
3295		
5850	MOWE	OPAL
4887	IKOTUN 2	EMERALD
4935	IGANDO	EMERALD
1946	AGRIC	RUBY
4499		
5394	AJAH 2	HILANDER
1492	IKOTUN2	EMERALD
5416		
6242		
6576	IYANA IBA	CRYSTAL
6264	AGRIC	RUBY
2012	IKORODU BENSON	RUBY
4945		
6793		
1886	IKOTUN 1	OPAL
6661	ISOLO	SAPPHIRE
1206		
6912		
1711	YABA	GARNET
5401	IGANDO	EMERALD
1570	AGRIC	RUBY
1953	AGBADO	SAPPHIRE
1214	YABA	GARNET
1350	SANGO	SAPPHIRE
1310	JADE	VERTICAL LEAD
4508	MUSHIN	SAPPHIRE
6747	OSHODI	EMERALD
2022	OSHODI	EMERALD
4581	AYOBO 1	SAPPHIRE
1584	AGBADO	SAPPHIRE
1694	EGBEDA 1	OPAL
1502	IKOTUN2	EMERALD
1972	AJEGUNLE	EMERALD
5450	AJGUNLE 2	EMERALD
1320	IKORODU	KEY ACCOUNT
1601	MOWE	OPAL
6621		
1560	YABA	GARNET
1686	FESTAC	RUBY
1718		
1518	OKO AFO	OPAL
5894	MUSHIN	SAPPHIRE
2482	IGANDO	EMERALD
6424	EGBEDA 2	OPAL
